dataset,model,pair_id,layer,axis,role,ground_truth,projection
COCO-2017-val,Molmo2-ER,coco_0021_397303,21,horizontal,target-reference,-1.8221492506009724,-8.622022867202759
COCO-2017-val,Molmo2-ER,coco_0021_397303,21,vertical,target-reference,0.7429132270043988,-2.5455355644226074
COCO-2017-val,Molmo2-ER,coco_0022_104669,21,distance,target-reference,0.1217858325208434,-0.13411688804626465
COCO-2017-val,Molmo2-ER,coco_0022_104669,21,horizontal,target-reference,-1.7902422445308888,-16.105831146240234
COCO-2017-val,Molmo2-ER,coco_0022_104669,21,vertical,target-reference,0.17524905880142105,0.025562763214111328
COCO-2017-val,Molmo2-ER,coco_0023_520077,21,distance,target-reference,-0.1894470051256892,1.1321039497852325
COCO-2017-val,Molmo2-ER,coco_0023_520077,21,horizontal,target-reference,1.7200771021838328,11.044016361236572
COCO-2017-val,Molmo2-ER,coco_0023_520077,21,vertical,target-reference,0.10122312921116,6.5149712562561035
COCO-2017-val,Molmo2-ER,coco_0024_99024,21,distance,target-reference,-0.14253517995610337,-3.8130208849906917
COCO-2017-val,Molmo2-ER,coco_0024_99024,21,horizontal,target-reference,-1.4369213934670604,-9.242405652999878
COCO-2017-val,Molmo2-ER,coco_0024_99024,21,vertical,target-reference,-1.4536846879726872,-10.37923002243042
COCO-2017-val,Molmo2-ER,coco_0025_191580,21,distance,target-reference,0.3040845061686168,-5.209291934967041
COCO-2017-val,Molmo2-ER,coco_0025_191580,21,horizontal,target-reference,-0.15538360989143019,1.818767786026001
COCO-2017-val,Molmo2-ER,coco_0025_191580,21,vertical,target-reference,-1.7678873045602739,-15.564019203186035
COCO-2017-val,Molmo2-ER,coco_0026_476704,21,distance,target-reference,-0.0379705501673504,-1.4441426396369934
COCO-2017-val,Molmo2-ER,coco_0026_476704,21,horizontal,target-reference,-1.657864421504251,-18.878576278686523
COCO-2017-val,Molmo2-ER,coco_0026_476704,21,vertical,target-reference,-0.3059034212300757,-11.157677412033081
COCO-2017-val,Molmo2-ER,coco_0027_15335,21,distance,target-reference,0.025231457966416238,3.035204529762268
COCO-2017-val,Molmo2-ER,coco_0027_15335,21,horizontal,target-reference,1.7791473156883635,9.176886677742004
COCO-2017-val,Molmo2-ER,coco_0027_15335,21,vertical,target-reference,-0.01701157899747674,-3.36824369430542
COCO-2017-val,Molmo2-ER,coco_0028_146457,21,distance,target-reference,0.4829042808452419,-0.3848754167556764
COCO-2017-val,Molmo2-ER,coco_0028_146457,21,horizontal,target-reference,1.7673708044636078,7.151109158992767
COCO-2017-val,Molmo2-ER,coco_0028_146457,21,vertical,target-reference,0.4325641069437574,0.4692087173461914
COCO-2017-val,Molmo2-ER,coco_0029_252219,21,distance,target-reference,0.4017325232992608,2.725244224071503
COCO-2017-val,Molmo2-ER,coco_0029_252219,21,horizontal,target-reference,-1.704818718486495,-17.701162338256836
COCO-2017-val,Molmo2-ER,coco_0029_252219,21,vertical,target-reference,0.5393764336860823,7.1668254137039185
COCO-2017-val,Molmo2-ER,coco_0030_405970,21,distance,target-reference,-0.2424340670756247,-0.6155430078506472
COCO-2017-val,Molmo2-ER,coco_0030_405970,21,horizontal,target-reference,-1.701126114885395,-12.147119998931885
COCO-2017-val,Molmo2-ER,coco_0030_405970,21,vertical,target-reference,-0.14301685821486587,-4.824982047080994
COCO-2017-val,Molmo2-ER,coco_0031_530061,21,distance,target-reference,0.2998579466222828,7.369097650051117
COCO-2017-val,Molmo2-ER,coco_0031_530061,21,horizontal,target-reference,1.6336845479453665,7.2876463532447815
COCO-2017-val,Molmo2-ER,coco_0031_530061,21,vertical,target-reference,0.7362932347735104,10.828884363174438
COCO-2017-val,Molmo2-ER,coco_0032_445846,21,distance,target-reference,0.5390105723887705,2.227665424346924
COCO-2017-val,Molmo2-ER,coco_0032_445846,21,horizontal,target-reference,1.6489578181131879,17.36859703063965
COCO-2017-val,Molmo2-ER,coco_0032_445846,21,vertical,target-reference,0.3913236967627025,9.646369218826294
COCO-2017-val,Molmo2-ER,coco_0033_160012,21,distance,target-reference,0.7938504111780573,4.75368857383728
COCO-2017-val,Molmo2-ER,coco_0033_160012,21,horizontal,target-reference,-1.5820712421761547,-9.878871440887451
COCO-2017-val,Molmo2-ER,coco_0033_160012,21,vertical,target-reference,0.7922044294672436,8.409949183464052
COCO-2017-val,Molmo2-ER,coco_0034_236914,21,distance,target-reference,-0.2341520831175323,-2.9668058753013615
COCO-2017-val,Molmo2-ER,coco_0034_236914,21,horizontal,target-reference,-1.6572853576996054,-18.1482572555542
COCO-2017-val,Molmo2-ER,coco_0034_236914,21,vertical,target-reference,0.028963964151514282,-1.0918508768081663
COCO-2017-val,Molmo2-ER,coco_0035_14038,21,distance,target-reference,-0.005458240085954108,-2.165565252304077
COCO-2017-val,Molmo2-ER,coco_0035_14038,21,horizontal,target-reference,-1.6237950655691313,-12.97544002532959
COCO-2017-val,Molmo2-ER,coco_0035_14038,21,vertical,target-reference,-0.06278879210802102,-4.746661424636841
COCO-2017-val,Molmo2-ER,coco_0036_232649,21,distance,target-reference,0.2377527067998476,-3.2835566997528076
COCO-2017-val,Molmo2-ER,coco_0036_232649,21,horizontal,target-reference,-1.1775870300811044,-9.402211308479309
COCO-2017-val,Molmo2-ER,coco_0036_232649,21,vertical,target-reference,-1.3556569907802276,-14.772399425506592
COCO-2017-val,Molmo2-ER,coco_0037_515077,21,distance,target-reference,-0.7232927366404909,-4.510090470314026
COCO-2017-val,Molmo2-ER,coco_0037_515077,21,horizontal,target-reference,1.5525186836443792,8.47201681137085
COCO-2017-val,Molmo2-ER,coco_0037_515077,21,vertical,target-reference,-0.6739933728232845,-8.245822668075562
COCO-2017-val,Molmo2-ER,coco_0038_141821,21,distance,target-reference,-0.3204289242551507,-8.341976404190063
COCO-2017-val,Molmo2-ER,coco_0038_141821,21,horizontal,target-reference,-1.6963575391483918,-16.570405960083008
COCO-2017-val,Molmo2-ER,coco_0038_141821,21,vertical,target-reference,-0.04860270666290911,-0.3869638442993155
COCO-2017-val,Molmo2-ER,coco_0039_242934,21,distance,target-reference,-0.397612369299363,-7.234446108341217
COCO-2017-val,Molmo2-ER,coco_0039_242934,21,horizontal,target-reference,1.5195445792830817,-3.903197050094604
COCO-2017-val,Molmo2-ER,coco_0039_242934,21,vertical,target-reference,0.35934333209316827,-5.040554955601692
COCO-2017-val,Molmo2-ER,coco_0040_411754,21,distance,target-reference,-0.3041627320779143,-2.8106682300567627
COCO-2017-val,Molmo2-ER,coco_0040_411754,21,horizontal,target-reference,-1.7408349805912213,-5.484707355499268
COCO-2017-val,Molmo2-ER,coco_0040_411754,21,vertical,target-reference,-0.048592047377326475,0.1493072509765625
COCO-2017-val,Molmo2-ER,coco_0041_24610,21,distance,target-reference,-0.04258195040099029,0.26304635405540466
COCO-2017-val,Molmo2-ER,coco_0041_24610,21,horizontal,target-reference,1.6794669843641694,13.196444511413574
COCO-2017-val,Molmo2-ER,coco_0041_24610,21,vertical,target-reference,0.37408952503195536,9.143932819366455
COCO-2017-val,Molmo2-ER,coco_0042_26465,21,distance,target-reference,0.8875196070533328,6.2251904010772705
COCO-2017-val,Molmo2-ER,coco_0042_26465,21,horizontal,target-reference,-1.3825697218837578,1.781177043914795
COCO-2017-val,Molmo2-ER,coco_0042_26465,21,vertical,target-reference,1.2459273262686321,9.474931836128235
COCO-2017-val,Molmo2-ER,coco_0043_453841,21,distance,target-reference,-0.0320440369419454,-1.864139437675476
COCO-2017-val,Molmo2-ER,coco_0043_453841,21,horizontal,target-reference,1.6038445302585869,13.444537878036499
COCO-2017-val,Molmo2-ER,coco_0043_453841,21,vertical,target-reference,0.2397669331776085,2.8731372356414795
COCO-2017-val,Molmo2-ER,coco_0044_81738,21,distance,target-reference,-0.30770896671117226,-6.203762054443359
COCO-2017-val,Molmo2-ER,coco_0044_81738,21,horizontal,target-reference,-1.767711703714847,-11.440985679626465
COCO-2017-val,Molmo2-ER,coco_0044_81738,21,vertical,target-reference,0.2036369200508965,-0.3365204930305481
COCO-2017-val,Molmo2-ER,coco_0045_227898,21,distance,target-reference,0.10491462053952111,4.570280909538269
COCO-2017-val,Molmo2-ER,coco_0045_227898,21,horizontal,target-reference,1.6634062476053806,0.8633535802364349
COCO-2017-val,Molmo2-ER,coco_0045_227898,21,vertical,target-reference,-0.11381432082491272,-3.0992969274520874
COCO-2017-val,Molmo2-ER,coco_0046_304984,21,distance,target-reference,0.47804986970193164,1.8639163970947268
COCO-2017-val,Molmo2-ER,coco_0046_304984,21,horizontal,target-reference,-1.4988941919093588,-16.44680404663086
COCO-2017-val,Molmo2-ER,coco_0046_304984,21,vertical,target-reference,1.0540892606559378,16.773889541625977
COCO-2017-val,Molmo2-ER,coco_0047_348481,21,distance,target-reference,0.3729966561885472,4.2050124406814575
COCO-2017-val,Molmo2-ER,coco_0047_348481,21,horizontal,target-reference,-1.2632994059471434,-2.005002498626708
COCO-2017-val,Molmo2-ER,coco_0047_348481,21,vertical,target-reference,1.3098410645492593,16.018643140792847
COCO-2017-val,Molmo2-ER,coco_0048_575970,21,distance,target-reference,-0.6789377441945043,-3.826043605804444
COCO-2017-val,Molmo2-ER,coco_0048_575970,21,horizontal,target-reference,1.6451729882609205,8.383312106132507
COCO-2017-val,Molmo2-ER,coco_0048_575970,21,vertical,target-reference,-0.3427952758751262,-1.4893748760223389
COCO-2017-val,Molmo2-ER,coco_0049_216497,21,distance,target-reference,-0.3593821461689881,-5.390488624572754
COCO-2017-val,Molmo2-ER,coco_0049_216497,21,horizontal,target-reference,1.6691016575978417,12.915292263031006
COCO-2017-val,Molmo2-ER,coco_0049_216497,21,vertical,target-reference,-0.3388172084052501,-7.244639158248901
COCO-2017-val,Molmo2-ER,coco_0050_298396,21,distance,target-reference,0.5150670491033706,2.216252803802491
COCO-2017-val,Molmo2-ER,coco_0050_298396,21,horizontal,target-reference,1.1947958889593275,2.4189441800117493
COCO-2017-val,Molmo2-ER,coco_0050_298396,21,vertical,target-reference,1.6192176696146658,19.05276107788086
COCO-2017-val,Molmo2-ER,coco_0051_528399,21,distance,target-reference,-0.41133911898025377,-4.798011064529419
COCO-2017-val,Molmo2-ER,coco_0051_528399,21,horizontal,target-reference,-1.585488391313806,-3.767380714416504
COCO-2017-val,Molmo2-ER,coco_0051_528399,21,vertical,target-reference,-0.7463325740144859,-11.868228435516357
COCO-2017-val,Molmo2-ER,coco_0052_551660,21,distance,target-reference,-0.8286068843030505,-4.746358394622803
COCO-2017-val,Molmo2-ER,coco_0052_551660,21,horizontal,target-reference,-1.1118959085849924,-8.286975383758545
COCO-2017-val,Molmo2-ER,coco_0052_551660,21,vertical,target-reference,-1.479758748676875,-11.78304147720337
COCO-2017-val,Molmo2-ER,coco_0053_147415,21,distance,target-reference,-0.2017708602137738,-3.990650773048401
COCO-2017-val,Molmo2-ER,coco_0053_147415,21,horizontal,target-reference,-1.5047499551938652,-11.89479923248291
COCO-2017-val,Molmo2-ER,coco_0053_147415,21,vertical,target-reference,0.9213571081394751,6.604750156402588
COCO-2017-val,Molmo2-ER,coco_0054_497344,21,distance,target-reference,0.36428989427552183,6.872615575790405
COCO-2017-val,Molmo2-ER,coco_0054_497344,21,horizontal,target-reference,1.5155232322178471,7.437681198120117
COCO-2017-val,Molmo2-ER,coco_0054_497344,21,vertical,target-reference,0.8422949273485438,5.680414915084839
COCO-2017-val,Molmo2-ER,coco_0055_35279,21,distance,target-reference,-0.5092811776381527,-5.990268707275389
COCO-2017-val,Molmo2-ER,coco_0055_35279,21,horizontal,target-reference,1.4932747740520267,7.877277374267578
COCO-2017-val,Molmo2-ER,coco_0055_35279,21,vertical,target-reference,-1.1822379069787305,-7.892647981643677
COCO-2017-val,Molmo2-ER,coco_0056_330818,21,distance,target-reference,-0.03749981372817851,-0.30762267112731934
COCO-2017-val,Molmo2-ER,coco_0056_330818,21,horizontal,target-reference,0.3383010360522312,0.963665246963501
COCO-2017-val,Molmo2-ER,coco_0056_330818,21,vertical,target-reference,-1.5347875125661496,-12.02385950088501
COCO-2017-val,Molmo2-ER,coco_0057_276285,21,distance,target-reference,0.8439650422424516,4.3911402225494385
COCO-2017-val,Molmo2-ER,coco_0057_276285,21,horizontal,target-reference,0.4008624491064824,-1.1361359357833862
COCO-2017-val,Molmo2-ER,coco_0057_276285,21,vertical,target-reference,1.6040934998525247,4.866304993629456
COCO-2017-val,Molmo2-ER,coco_0058_195918,21,distance,target-reference,-0.559150623236154,-3.785791337490082
COCO-2017-val,Molmo2-ER,coco_0058_195918,21,horizontal,target-reference,1.6293032239605223,12.418504238128662
COCO-2017-val,Molmo2-ER,coco_0058_195918,21,vertical,target-reference,-0.5949036961307521,-1.8772296905517578
COCO-2017-val,Molmo2-ER,coco_0059_515579,21,distance,target-reference,0.6440290496343184,-2.843191385269165
COCO-2017-val,Molmo2-ER,coco_0059_515579,21,horizontal,target-reference,-1.5763094962753406,-9.660207867622375
COCO-2017-val,Molmo2-ER,coco_0059_515579,21,vertical,target-reference,0.2357306291806015,4.281064808368683
COCO-2017-val,Molmo2-ER,coco_0060_425361,21,distance,target-reference,0.1567537287120286,0.3499349355697632
COCO-2017-val,Molmo2-ER,coco_0060_425361,21,horizontal,target-reference,1.650103409845054,7.88892674446106
COCO-2017-val,Molmo2-ER,coco_0060_425361,21,vertical,target-reference,0.19720100245870809,3.535266101360321
COCO-2017-val,Molmo2-ER,coco_0061_283412,21,distance,target-reference,0.7705314482890113,6.154896974563599
COCO-2017-val,Molmo2-ER,coco_0061_283412,21,horizontal,target-reference,-1.381326719910633,-6.699328303337097
COCO-2017-val,Molmo2-ER,coco_0061_283412,21,vertical,target-reference,0.9245977617384755,6.018203616142273
COCO-2017-val,Molmo2-ER,coco_0062_1268,21,distance,target-reference,-0.638383872519527,-9.479960203170776
COCO-2017-val,Molmo2-ER,coco_0062_1268,21,horizontal,target-reference,-1.6264629272238378,-15.129473209381104
COCO-2017-val,Molmo2-ER,coco_0062_1268,21,vertical,target-reference,-0.34150479304262904,-3.7277071475982666
COCO-2017-val,Molmo2-ER,coco_0063_308531,21,distance,target-reference,0.3144165791183747,-2.212987184524536
COCO-2017-val,Molmo2-ER,coco_0063_308531,21,horizontal,target-reference,0.22824717345945,-3.464261054992676
COCO-2017-val,Molmo2-ER,coco_0063_308531,21,vertical,target-reference,1.5566836614421873,19.02110242843628
COCO-2017-val,Molmo2-ER,coco_0064_414638,21,distance,target-reference,-0.1061352329558578,-5.367182731628418
COCO-2017-val,Molmo2-ER,coco_0064_414638,21,horizontal,target-reference,-1.4305480298093924,-9.571580886840819
COCO-2017-val,Molmo2-ER,coco_0064_414638,21,vertical,target-reference,-1.0876951801937091,-16.9707612991333
COCO-2017-val,Molmo2-ER,coco_0065_248400,21,distance,target-reference,0.4633642184436493,2.143288552761078
COCO-2017-val,Molmo2-ER,coco_0065_248400,21,horizontal,target-reference,-1.5902739573425517,-9.185200929641724
COCO-2017-val,Molmo2-ER,coco_0065_248400,21,vertical,target-reference,-0.3433913930912389,-4.567220211029053
COCO-2017-val,Molmo2-ER,coco_0066_130613,21,distance,target-reference,0.8802112003879747,4.934013605117798
COCO-2017-val,Molmo2-ER,coco_0066_130613,21,horizontal,target-reference,1.2437383960341748,8.903316497802734
COCO-2017-val,Molmo2-ER,coco_0066_130613,21,vertical,target-reference,1.6009930088730735,17.777006149291992
COCO-2017-val,Molmo2-ER,coco_0067_92053,21,distance,target-reference,0.00390246708067582,0.7085830569267273
COCO-2017-val,Molmo2-ER,coco_0067_92053,21,horizontal,target-reference,1.647679632868142,4.369857013225555
COCO-2017-val,Molmo2-ER,coco_0067_92053,21,vertical,target-reference,-0.0745886622992936,0.23530733585357688
COCO-2017-val,Molmo2-ER,coco_0068_232088,21,distance,target-reference,-0.5368519765645163,-4.121842622756958
COCO-2017-val,Molmo2-ER,coco_0068_232088,21,horizontal,target-reference,-1.5150129796630902,-8.272634744644165
COCO-2017-val,Molmo2-ER,coco_0068_232088,21,vertical,target-reference,-0.9285628002728272,-14.697044849395752
COCO-2017-val,Molmo2-ER,coco_0069_91406,21,distance,target-reference,-0.7750224503751861,-8.773545265197754
COCO-2017-val,Molmo2-ER,coco_0069_91406,21,horizontal,target-reference,-1.2396247704122272,-7.470956802368164
COCO-2017-val,Molmo2-ER,coco_0069_91406,21,vertical,target-reference,-1.5265992387301193,-18.81142520904541
COCO-2017-val,Molmo2-ER,coco_0070_419653,21,distance,target-reference,0.012556527751321822,-5.800811767578125
COCO-2017-val,Molmo2-ER,coco_0070_419653,21,horizontal,target-reference,1.6130009847293363,13.814090251922607
COCO-2017-val,Molmo2-ER,coco_0070_419653,21,vertical,target-reference,-0.4601577114828049,-3.329251527786254
COCO-2017-val,Molmo2-ER,coco_0071_572462,21,distance,target-reference,0.01017795618543621,4.609891772270203
COCO-2017-val,Molmo2-ER,coco_0071_572462,21,horizontal,target-reference,-1.2161082803590086,3.062115490436554
COCO-2017-val,Molmo2-ER,coco_0071_572462,21,vertical,target-reference,-1.340823334657271,-4.423401236534119
COCO-2017-val,Molmo2-ER,coco_0072_195842,21,distance,target-reference,0.8486268618599366,1.3838569819927216
COCO-2017-val,Molmo2-ER,coco_0072_195842,21,horizontal,target-reference,-1.0209131303922971,-14.028907775878906
COCO-2017-val,Molmo2-ER,coco_0072_195842,21,vertical,target-reference,1.7697485911837765,26.907745361328125
COCO-2017-val,Molmo2-ER,coco_0073_6763,21,distance,target-reference,0.8652281576515598,3.099528551101684
COCO-2017-val,Molmo2-ER,coco_0073_6763,21,horizontal,target-reference,-1.393437212286099,-16.181751251220703
COCO-2017-val,Molmo2-ER,coco_0073_6763,21,vertical,target-reference,1.32465748506002,16.251463651657104
COCO-2017-val,Molmo2-ER,coco_0074_36844,21,distance,target-reference,0.5020614930045839,1.841299295425415
COCO-2017-val,Molmo2-ER,coco_0074_36844,21,horizontal,target-reference,1.615579580541833,14.123481512069702
COCO-2017-val,Molmo2-ER,coco_0074_36844,21,vertical,target-reference,0.23360295314572427,5.299183487892151
COCO-2017-val,Molmo2-ER,coco_0075_18575,21,distance,target-reference,0.5314211717765243,0.24978137016296392
COCO-2017-val,Molmo2-ER,coco_0075_18575,21,horizontal,target-reference,1.47988577295676,7.923235535621643
COCO-2017-val,Molmo2-ER,coco_0075_18575,21,vertical,target-reference,0.697987261677567,4.459434151649475
COCO-2017-val,Molmo2-ER,coco_0076_559513,21,distance,target-reference,-0.45053469306230165,-2.9924058914184566
COCO-2017-val,Molmo2-ER,coco_0076_559513,21,horizontal,target-reference,-1.6042556579242975,-7.247610569000244
COCO-2017-val,Molmo2-ER,coco_0076_559513,21,vertical,target-reference,0.02469972844211389,0.20220279693603516
COCO-2017-val,Molmo2-ER,coco_0077_442323,21,distance,target-reference,-0.332655969561166,-7.723283886909485
COCO-2017-val,Molmo2-ER,coco_0077_442323,21,horizontal,target-reference,-1.739091589595823,-10.808635711669922
COCO-2017-val,Molmo2-ER,coco_0077_442323,21,vertical,target-reference,-0.16715167732060343,-1.4266371726989746
COCO-2017-val,Molmo2-ER,coco_0078_446651,21,distance,target-reference,0.7193139307106868,5.916898250579834
COCO-2017-val,Molmo2-ER,coco_0078_446651,21,horizontal,target-reference,1.5452410957612344,5.6310155391693115
COCO-2017-val,Molmo2-ER,coco_0078_446651,21,vertical,target-reference,0.6646297509201018,7.449458122253418
COCO-2017-val,Molmo2-ER,coco_0079_415194,21,distance,target-reference,-0.5926048517927901,-7.944325804710388
COCO-2017-val,Molmo2-ER,coco_0079_415194,21,horizontal,target-reference,-1.6874628673472023,-18.51501703262329
COCO-2017-val,Molmo2-ER,coco_0079_415194,21,vertical,target-reference,-0.15841623090211476,-3.989589810371399
COCO-2017-val,Molmo2-ER,coco_0080_276055,21,distance,target-reference,0.4146367761684817,-2.7983336448669434
COCO-2017-val,Molmo2-ER,coco_0080_276055,21,horizontal,target-reference,-1.4398457040805637,-4.730503559112549
COCO-2017-val,Molmo2-ER,coco_0080_276055,21,vertical,target-reference,-1.08284696107667,-8.529481887817383
COCO-2017-val,Molmo2-ER,coco_0081_407646,21,distance,target-reference,-0.2051246835929687,-5.998831510543823
COCO-2017-val,Molmo2-ER,coco_0081_407646,21,horizontal,target-reference,1.7765649856741614,8.481717348098755
COCO-2017-val,Molmo2-ER,coco_0081_407646,21,vertical,target-reference,-0.0788931701740272,-1.8307578563690186
COCO-2017-val,Molmo2-ER,coco_0082_127092,21,distance,target-reference,0.17847932006469072,-2.5247603058815002
